"plate_well","plate","well","identifier","hit","welltype","create_date","fp","fp_1","fi","fi_1","p","p_1","s","s_1"
"1799O20","1799","O20","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O20","0","X","2015-08-31 19:12","260.2","259.8","100275020.0","109815021.0","42840590.0","46921147.0","14593840.0","15972727.0"
"1799O19","1799","O19","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O19","0","X","2015-08-31 19:12","273.2","264.9","47353350.0","47945895.0","20147499.0","20453776.0","7058352.0","7038343.0"
"1799O18","1799","O18","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O18","0","X","2015-08-31 19:12","275.0","269.7","47861255.0","47916629.0","20351299.0","20409975.0","7158657.0","7096679.0"
"1799O17","1799","O17","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O17","0","X","2015-08-31 19:12","278.7","268.5","47039768.0","47376954.0","19978441.0","20187753.0","7082886.0","7001448.0"
"1799O16","1799","O16","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O16","0","X","2015-08-31 19:12","270.1","269.5","47159763.0","47785683.0","20084959.0","20355248.0","6989845.0","7075187.0"
"1799O15","1799","O15","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O15","0","X","2015-08-31 19:12","275.5","273.2","47324807.0","47412194.0","20120393.0","20172208.0","7084021.0","7067778.0"
"1799O14","1799","O14","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O14","0","X","2015-08-31 19:12","281.8","274.2","46765860.0","47580807.0","19841603.0","20237338.0","7082654.0","7106131.0"
"1799O13","1799","O13","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O13","0","X","2015-08-31 19:12","276.1","269.8","47449142.0","47981515.0","20169001.0","20437087.0","7111140.0","7107341.0"
"1799O12","1799","O12","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O12","0","X","2015-08-31 19:12","276.6","272.6","46190447.0","46479177.0","19631166.0","19779439.0","6928115.0","6920299.0"
"1799O11","1799","O11","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O11","0","X","2015-08-31 19:12","274.8","267.4","47390552.0","47569551.0","20152772.0","20276767.0","7085008.0","7016017.0"
"1799O10","1799","O10","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O10","0","X","2015-08-31 19:12","279.9","274.1","46588909.0","47038388.0","19778696.0","20007380.0","7031517.0","7023628.0"
"1799O09","1799","O09","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O09","0","X","2015-08-31 19:12","277.0","272.0","47236812.0","47806946.0","20072827.0","20347915.0","7091158.0","7111116.0"
"1799O08","1799","O08","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O08","0","X","2015-08-31 19:12","284.0","278.4","54536970.0","54988363.0","23122043.0","23356509.0","8292884.0","8275345.0"
"1799O07","1799","O07","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O07","0","X","2015-08-31 19:12","275.9","271.6","48772747.0","49082213.0","20732805.0","20893401.0","7307137.0","7295411.0"
"1799O06","1799","O06","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O06","0","X","2015-08-31 19:12","274.1","273.9","47605644.0","47800834.0","20248585.0","20333264.0","7108474.0","7134306.0"
"1799O05","1799","O05","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O05","0","X","2015-08-31 19:12","274.2","267.1","47677297.0","48157021.0","20278754.0","20529297.0","7119789.0","7098427.0"
"1799O04","1799","O04","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O04","0","X","2015-08-31 19:12","281.3","273.1","45611618.0","46130669.0","19355206.0","19627910.0","6901206.0","6874849.0"
"1799O03","1799","O03","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O03","0","X","2015-08-31 19:12","274.8","273.5","47091053.0","47474105.0","20025145.0","20196417.0","7040763.0","7081271.0"
"1799O02","1799","O02","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O02","0","X","2015-08-31 19:12","271.1","268.4","46747973.0","46772357.0","19903316.0","19930953.0","6941341.0","6910451.0"
"1799O01","1799","O01","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O01","0","X","2015-08-31 19:12","265.8","268.5","48750982.0","48725652.0","20791149.0","20762095.0","7168684.0","7201462.0"
"1799N24","1799","N24","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N24","0","N","2015-08-31 19:12","264.5","263.2","45802687.0","45532378.0","19541471.0","19434212.0","6719745.0","6663954.0"
"1799N22","1799","N22","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N22","0","X","2015-08-31 19:12","245.2","257.1","52300223.0","49524073.0","22447125.0","21178036.0","7405973.0","7168001.0"
"1799N21","1799","N21","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N21","0","X","2015-08-31 19:12","275.8","270.6","45870693.0","45785231.0","19500001.0","19496519.0","6870691.0","6792193.0"
"1799N20","1799","N20","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N20","0","X","2015-08-31 19:12","273.5","274.2","45418621.0","45713327.0","19322422.0","19442939.0","6773777.0","6827449.0"
"1799N19","1799","N19","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N19","0","X","2015-08-31 19:12","273.9","270.5","45365484.0","45205998.0","19297252.0","19250259.0","6770980.0","6705480.0"
"1799N18","1799","N18","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N18","0","X","2015-08-31 19:12","274.8","271.3","45684960.0","46186272.0","19427171.0","19662600.0","6830618.0","6861072.0"
"1799N17","1799","N17","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N17","0","X","2015-08-31 19:12","273.0","266.1","43623882.0","44158948.0","18561641.0","18831021.0","6500600.0","6496906.0"
